mukey,gSSURGOversion,MUsymbol,WTDepAprJun,FloodFreq,PondFreq,DrainCls,DrainClsWet,HydroGrp,Hydric,OCProdIdx,OCprodIdxSrc,NCCPIall,RootZnDepth,RootZnAWS,Droughty,PotWetandSoil
536307,10/1/2024,FdB,53,None,0,Somewhat poorly drained,Somewhat poorly drained,C/D,10,66,mutext.textcat=PI (OH),0.821,150,250,0,10
536309,10/1/2024,GfB,46,None,5,Moderately well drained,Moderately well drained,C/D,5,76,mutext.textcat=PI (OH),0.794,150,308,0,5
536310,10/1/2024,GfC,46,None,0,Moderately well drained,Moderately well drained,C/D,0,71,mutext.textcat=PI (OH),0.751,150,308,0,NULL
536311,10/1/2024,GgB,56,None,0,Moderately well drained,Moderately well drained,C/D,0,71,mutext.textcat=PI (OH),0.676,150,247,0,NULL
536312,10/1/2024,GgC,56,None,0,Moderately well drained,Moderately well drained,C/D,0,67,mutext.textcat=PI (OH),0.639,150,247,0,NULL
536313,10/1/2024,GgD,56,None,0,Moderately well drained,Moderately well drained,C/D,0,54,mutext.textcat=PI (OH),0.552,150,247,0,NULL
536314,10/1/2024,HeC,NULL,None,0,Well drained,Well drained,A,0,62,mutext.textcat=PI (OH),0.364,140,117,1,NULL
536315,10/1/2024,HeD,NULL,None,0,Well drained,Well drained,A,0,50,mutext.textcat=PI (OH),0.301,140,117,1,NULL
536319,10/1/2024,KeB,33,None,0,Moderately well drained,Moderately well drained,C/D,0,66,mutext.textcat=PI (OH),0.758,117,223,0,NULL
536320,10/1/2024,KeC,69,None,0,Moderately well drained,Moderately well drained,C,0,59,mutext.textcat=PI (OH),0.664,117,214,0,NULL
536322,10/1/2024,Mc,0,Frequent,0,Poorly drained,Poorly drained,B/D,85,57,mutext.textcat=PI (OH),0.579,150,308,0,85
536327,10/1/2024,No,NULL,Occasional,0,Well drained,Well drained,B,5,74,mutext.textcat=PI (OH),0.884,150,315,0,5
536328,10/1/2024,Or,30,Occasional,0,Somewhat poorly drained,Somewhat poorly drained,B/D,5,72,mutext.textcat=PI (OH),0.732,150,218,0,5
536331,10/1/2024,PwB,NULL,None,0,Excessively drained,Excessively drained,A,0,53,mutext.textcat=PI (OH),0.489,150,106,1,NULL
536332,10/1/2024,RgC,NULL,None,0,Well drained,Well drained,A,0,63,mutext.textcat=PI (OH),0.505,150,158,0,NULL
536333,10/1/2024,RgD,NULL,None,0,Well drained,Well drained,A,0,46,mutext.textcat=PI (OH),0.435,150,158,0,NULL
536335,10/1/2024,RuA,NULL,None,0,Well drained,Well drained,B,0,80,mutext.textcat=PI (OH),0.879,150,260,0,NULL
536336,10/1/2024,Se,15,None,85,Poorly drained,Poorly drained,C/D,92,58,mutext.textcat=PI (OH),0.309,150,243,0,92
536337,10/1/2024,ShC3,84,None,0,Moderately well drained,Moderately well drained,C,0,47,mutext.textcat=PI (OH),0.616,150,202,0,NULL
536338,10/1/2024,SpA,NULL,None,0,Excessively drained,Excessively drained,A,0,46,mutext.textcat=PI (OH),0.563,150,119,1,NULL
536339,10/1/2024,To,137,Occasional,0,Well drained,Well drained,A,0,72,mutext.textcat=PI (OH),0.663,150,196,0,NULL
536341,10/1/2024,UpC,NULL,None,0,Well drained,Well drained,D,0,56,mutext.textcat=PI (OH),0.472,112,140,1,NULL
536343,10/1/2024,WbA,61,None,0,Somewhat poorly drained,Somewhat poorly drained,C,0,74,mutext.textcat=PI (OH),0.676,69,147,1,NULL
536344,10/1/2024,WhC,NULL,None,0,Well drained,Well drained,B,0,66,mutext.textcat=PI (OH),0.621,112,185,0,NULL
536345,10/1/2024,WhD,NULL,None,0,Well drained,Well drained,B,0,58,mutext.textcat=PI (OH),0.518,112,185,0,NULL
536348,10/1/2024,WnC,56,None,0,Well drained,Moderately well drained,B,0,61,mutext.textcat=PI (OH),0.63,123,209,0,NULL
536349,10/1/2024,WnD,56,None,0,Well drained,Moderately well drained,B,0,59,mutext.textcat=PI (OH),0.538,123,209,0,NULL
536351,10/1/2024,WrA,NULL,None,0,Well drained,Well drained,B,0,75,mutext.textcat=PI (OH),0.699,150,171,0,NULL
1589367,10/1/2024,AaB,NULL,None,0,Moderately well drained,Moderately well drained,C/D,0,69,mutext.textcat=PI (OH),0.688,133,165,0,NULL
1589368,10/1/2024,AaC,NULL,None,0,Moderately well drained,Moderately well drained,C/D,0,66,mutext.textcat=PI (OH),0.653,133,165,0,NULL
1589369,10/1/2024,BfC,NULL,None,0,Well drained,Well drained,B,0,50,mutext.textcat=PI (OH),0.439,73,84,1,NULL
1589372,10/1/2024,CrD,76,None,0,Moderately well drained,Moderately well drained,C,0,54,mutext.textcat=PI (OH),0.447,114,168,0,NULL
